Date,Tfe_Before_Mixer
5/12/2019,67.02
5/12/2019,66.69
5/12/2019,66.92
5/13/2019,67.25
5/13/2019,66.8
5/13/2019,66.47
5/14/2019,66.8
5/14/2019,67.24
5/14/2019,67.35
5/15/2019,66.42
5/15/2019,67.02
5/15/2019,67
5/16/2019,66.7
5/16/2019,66.57
5/16/2019,66.35
5/17/2019,66.98
5/17/2019,66.35
5/17/2019,67.24
5/18/2019,67.33
5/18/2019,66.7
5/18/2019,66.8
5/19/2019,67.02
5/19/2019,67.02
5/19/2019,67.25
5/20/2019,66.8
5/20/2019,67.25
5/20/2019,66.59
5/21/2019,66.68
5/21/2019,67.35
5/21/2019,66.53
5/22/2019,66.8
5/22/2019,67.13
5/22/2019,67.13
5/23/2019,66.7
5/23/2019,67.24
5/23/2019,66.91
5/24/2019,66.42
5/24/2019,66.35
5/24/2019,66.82
5/24/2019,66.82
5/25/2019,67.07
5/25/2019,67.04
5/25/2019,67.04
5/26/2019,67.07
5/26/2019,67.24
5/28/2019,66.8
5/28/2019,67.13
5/28/2019,66.7
5/29/2019,66.8
5/29/2019,67.15
5/29/2019,66.92
5/30/2019,67.47
5/30/2019,67.48
5/30/2019,67.15
5/31/2019,66.92
5/31/2019,66.91
5/31/2019,67.24
6/1/2019,66.81
6/1/2019,67.08
6/1/2019,67.02
6/2/2019,67.1
6/2/2019,67.08
6/2/2019,67.02
6/3/2019,66.7
6/3/2019,66.81
6/3/2019,67.02
6/4/2019,67.24
6/4/2019,66.92
6/4/2019,67.02
6/5/2019,67.02
6/5/2019,66.91
6/5/2019,67.02
6/6/2019,66.82
6/6/2019,66.91
6/6/2019,66.81
6/7/2019,67.35
6/7/2019,67.02
6/7/2019,67.15
6/8/2019,66.38
6/8/2019,66.93
6/8/2019,66.27
6/9/2019,66.49
6/9/2019,67.26
6/9/2019,66.38
6/10/2019,66.6
6/10/2019,66.82
6/10/2019,66.71
6/11/2019,66.65
6/13/2019,66.82
6/13/2019,66.82
6/13/2019,66.82
6/14/2019,66.83
6/15/2019,67.1
6/16/2019,66.72
6/16/2019,67.15
6/16/2019,66.5
6/17/2019,66.38
6/17/2019,66.38
6/17/2019,67.04
6/18/2019,66.61
6/18/2019,66.38
6/18/2019,66.38
6/19/2019,66.75
6/19/2019,66.6
6/19/2019,66.6
6/20/2019,67.15
6/20/2019,66.38
6/20/2019,66.6
6/21/2019,66.6
6/21/2019,66.87
6/22/2019,66.77
6/22/2019,66.38
6/23/2019,66.38
6/23/2019,66.82
6/23/2019,67.08
6/24/2019,66.82
6/24/2019,67.7
6/24/2019,66.95
6/25/2019,66.82
6/25/2019,66.6
6/25/2019,66.6
6/26/2019,66.6
6/26/2019,67.04
6/26/2019,66.16
6/27/2019,66.4
6/27/2019,66.27
6/27/2019,66.6
6/28/2019,66.16
6/28/2019,66.38
6/28/2019,66.6
6/29/2019,66.38
6/29/2019,66.5
6/29/2019,66.82
6/30/2019,66.55
6/30/2019,67.15
6/30/2019,66.77
7/1/2019,66.82
7/1/2019,66.82
7/1/2019,66.8
7/2/2019,66.82
7/2/2019,66.6
7/2/2019,67
7/3/2019,66.6
7/3/2019,67.04
7/3/2019,66.6
7/4/2019,66.85
7/4/2019,66.6
7/4/2019,66.38
7/5/2019,66.75
7/5/2019,66.38
7/5/2019,66.6
7/6/2019,66.6
7/6/2019,66.38
7/6/2019,66.16
7/7/2019,66.16
7/7/2019,66.57
7/7/2019,66.81
7/8/2019,66.6
7/8/2019,67.05
7/8/2019,66.81
7/9/2019,66.6
7/9/2019,65.94
7/9/2019,66.6
7/10/2019,66.58
7/10/2019,66.18
7/10/2019,66.95
7/11/2019,66.59
7/11/2019,66.73
7/11/2019,66.95
7/12/2019,67.88
7/12/2019,66.89
7/12/2019,67.05
7/13/2019,67.6
7/13/2019,67.38
7/13/2019,67.05
7/14/2019,67.6
7/14/2019,67.34
7/14/2019,66.89
7/15/2019,66.95
7/15/2019,66.51
7/15/2019,67.01
7/16/2019,66.89
7/16/2019,66.67
7/16/2019,66.32
7/17/2019,66.23
7/17/2019,66.33
7/17/2019,66.5
7/18/2019,66.33
7/18/2019,66.83
7/18/2019,66
7/19/2019,67.01
7/19/2019,66.45
7/19/2019,66.18
7/20/2019,66.58
7/20/2019,66.62
7/20/2019,67.05
7/21/2019,66.81
7/21/2019,66.62
7/21/2019,66.67
7/22/2019,66.62
7/22/2019,66.62
7/22/2019,66.8
7/23/2019,66.62
7/24/2019,66.69
7/24/2019,66.47
7/24/2019,67.23
7/25/2019,66.69
7/25/2019,66.8
7/25/2019,67.35
7/27/2019,66.78
7/27/2019,66.91
7/27/2019,66.51
7/28/2019,67.12
7/28/2019,67.14
7/28/2019,66.8
7/29/2019,67.15
7/29/2019,66.68
7/29/2019,66.58
7/30/2019,66.58
7/30/2019,67.03
7/30/2019,66.36
7/31/2019,66.46
7/31/2019,66.58
7/31/2019,66.78
8/1/2019,66.35
8/1/2019,66.88
8/1/2019,66.56
8/2/2019,66.46
8/2/2019,65.9
8/2/2019,66.81
8/3/2019,66.56
8/3/2019,66.58
8/3/2019,66.55
8/4/2019,66.58
8/4/2019,66.62
8/4/2019,65.9
8/5/2019,66.78
8/5/2019,66.35
8/5/2019,66.8
8/6/2019,66.88
8/6/2019,66.91
8/6/2019,66.8
8/7/2019,66.69
8/7/2019,67.03
8/7/2019,66.8
8/8/2019,66.8
8/8/2019,66.8
8/9/2019,66.78
8/9/2019,66.92
8/9/2019,67.11
8/10/2019,66.8
8/10/2019,67.14
8/10/2019,66.92
8/11/2019,67.11
8/11/2019,67.03
8/11/2019,66.96
8/12/2019,67.03
8/12/2019,67.14
8/12/2019,66.8
8/13/2019,67.03
8/13/2019,67.14
8/13/2019,67.25
8/14/2019,67.09
8/14/2019,67.25
8/14/2019,67.03
8/15/2019,67.25
8/15/2019,67.23
8/15/2019,67.25
8/16/2019,67.7
8/16/2019,67.31
8/16/2019,67.45
8/17/2019,67.48
8/17/2019,66.8
8/17/2019,67.23
8/18/2019,67.14
8/18/2019,66.76
8/18/2019,66.9
8/19/2019,66.89
8/19/2019,66.71
8/19/2019,66.87
8/20/2019,66.78
8/20/2019,67.03
8/20/2019,67.05
8/21/2019,67.26
8/21/2019,67.14
8/21/2019,66.81
8/22/2019,66.92
8/22/2019,66.92
8/22/2019,67.03
8/23/2019,66.81
9/23/2019,66.71
9/24/2019,65.83
9/24/2019,65.94
9/25/2019,66.49
9/25/2019,66.78
9/26/2019,66.93
9/26/2019,67.38
9/27/2019,66.81
9/27/2019,66.72
9/28/2019,66.78
9/28/2019,66.93
9/28/2019,66.5
9/29/2019,66.38
9/29/2019,66.65
9/29/2019,66.27
10/2/2019,66.49
10/3/2019,66.05
10/3/2019,66.7
10/3/2019,66.05
10/4/2019,66.27
10/4/2019,66.28
10/4/2019,66.81
10/5/2019,66.5
10/5/2019,67.04
10/5/2019,66.27
10/6/2019,66.14
10/6/2019,66.46
10/7/2019,67.04
10/7/2019,66.6
10/7/2019,66.84
10/9/2019,67.06
10/9/2019,66.82
10/9/2019,67.01
10/10/2019,66.24
10/10/2019,66.37
10/10/2019,66.13
10/11/2019,66.35
10/11/2019,67.05
10/11/2019,66.31
10/12/2019,66.72
10/12/2019,66.83
10/12/2019,66.53
10/13/2019,67
10/13/2019,66.67
10/13/2019,66.38
10/14/2019,66.75
10/14/2019,66.8
10/14/2019,66.61
10/15/2019,66.75
10/16/2019,66.6
10/16/2019,66.78
10/16/2019,66.01
10/17/2019,66.05
10/17/2019,66.31
10/17/2019,65.91
10/18/2019,66.45
10/19/2019,66.56
10/19/2019,66.36
10/19/2019,66.83
10/20/2019,66.6
10/20/2019,66.7
10/20/2019,66.42
10/21/2019,66.35
10/21/2019,66.72
10/22/2019,66.75
10/22/2019,67.08
10/22/2019,66.38
10/23/2019,66.33
10/23/2019,66.69
10/23/2019,66.12
10/24/2019,66.56
10/24/2019,66.79
10/24/2019,66.45
10/25/2019,66.38
10/25/2019,66.75
10/25/2019,66.57
10/26/2019,66.34
10/26/2019,66.64
10/26/2019,66.35
10/27/2019,66.45
10/27/2019,66.75
10/27/2019,66.38
10/28/2019,66.6
10/28/2019,67
10/28/2019,66.6
10/29/2019,66.79
10/29/2019,67.19
10/29/2019,66.83
10/30/2019,66.6
10/30/2019,66.97
10/30/2019,66.5
10/31/2019,66.64
10/31/2019,67.08
10/31/2019,66.12
11/1/2019,66.61
11/1/2019,66.93
11/1/2019,66.34
11/2/2019,66.83
11/2/2019,66.63
11/2/2019,66.35
11/3/2019,66.34
11/3/2019,67.2
11/3/2019,66.35
11/4/2019,66.12
11/4/2019,66.83
11/4/2019,67.14
11/5/2019,66.68
11/5/2019,67
11/5/2019,66.75
11/6/2019,66.79
11/6/2019,67
11/6/2019,67.04
11/7/2019,67.04
11/7/2019,66.83
11/7/2019,66.16
11/8/2019,66.83
11/8/2019,67.05
11/8/2019,66.38
11/9/2019,66.82
11/9/2019,67.04
11/9/2019,66.38
11/10/2019,66.49
11/10/2019,66.59
11/10/2019,66.38
11/11/2019,66.38
11/11/2019,66.7
11/11/2019,66.71
11/12/2019,66.82
11/12/2019,67.29
11/12/2019,67.26
11/13/2019,67.04
11/13/2019,66.65
11/13/2019,66.32
11/14/2019,66.6
11/14/2019,66.38
11/14/2019,66.6
11/15/2019,66.33
11/15/2019,66.38
11/15/2019,66.38
11/16/2019,66.6
11/16/2019,67
11/16/2019,66.15
11/17/2019,66.6
11/17/2019,66.66
11/17/2019,66.38
11/18/2019,66.49
11/18/2019,66.33
11/18/2019,66.67
11/19/2019,66.6
11/19/2019,66.75
11/19/2019,66.45
11/20/2019,66.6
11/20/2019,67.04
11/20/2019,66.78
11/21/2019,66.56
11/21/2019,66.71
11/21/2019,66.6
11/22/2019,67.49
11/22/2019,66.82
11/22/2019,66.82
11/23/2019,67.15
11/23/2019,66.65
11/23/2019,66.93
11/24/2019,66.6
11/24/2019,66.6
11/24/2019,66.38
11/25/2019,67.15
11/26/2019,67.15
11/26/2019,66.89
11/27/2019,66.89
11/27/2019,66.7
11/27/2019,66.89
11/28/2019,67.04
11/28/2019,66.71
11/28/2019,67.04
11/29/2019,66.89
11/29/2019,66.6
11/29/2019,66.77
11/30/2019,66.45
11/30/2019,66.82
11/30/2019,66.82
12/1/2019,66.78
12/1/2019,66.4
12/1/2019,66.15
12/2/2019,66.33
12/2/2019,66.3
12/2/2019,67.15
12/3/2019,67.37
12/3/2019,66.73
12/3/2019,67.04
12/4/2019,66.82
12/4/2019,66.71
12/4/2019,66.72
12/5/2019,66.51
12/5/2019,66.45
12/5/2019,67.14
12/6/2019,67.26
12/6/2019,67.04
12/6/2019,67.08
12/7/2019,67.15
12/7/2019,67.38
12/7/2019,67.08
12/8/2019,66.72
12/8/2019,66.6
12/8/2019,66.72
12/9/2019,66.87
12/9/2019,66.74
12/9/2019,66.43
12/10/2019,66.87
12/10/2019,66.97
12/10/2019,66.61
12/11/2019,66.43
12/11/2019,66.92
12/11/2019,66.93
12/12/2019,67.19
12/12/2019,66.98
12/12/2019,66.94
12/13/2019,67.04
12/13/2019,67.08
12/13/2019,66.63
12/14/2019,66.41
12/14/2019,67.05
12/14/2019,66.98
12/15/2019,67.06
12/15/2019,66.95
12/15/2019,67.3
12/16/2019,66.43
12/16/2019,66.77
12/16/2019,66.64
12/17/2019,66.67
12/17/2019,66.41
12/17/2019,66.43
12/18/2019,66.45
12/18/2019,66.91
12/18/2019,66.2
12/19/2019,66.43
12/19/2019,66.22
12/19/2019,66.62
12/20/2019,66.43
12/20/2019,66.65
12/20/2019,66.2
12/21/2019,66.01
12/21/2019,66.87
12/21/2019,66.22
12/22/2019,66.2
12/22/2019,66.9
12/22/2019,66.67
12/23/2019,66.43
12/23/2019,66.66
12/23/2019,66.66
12/24/2019,66.22
12/24/2019,65.99
12/24/2019,66.22
12/25/2019,66.87
12/25/2019,65.99
12/25/2019,66.43
12/26/2019,66.77
12/26/2019,66.43
12/26/2019,65.99
12/27/2019,66.85
12/27/2019,66.95
12/27/2019,67.04
12/28/2019,66.73
12/28/2019,67.08
12/28/2019,67.06
12/29/2019,66.87
12/29/2019,67.08
12/29/2019,66.85
12/30/2019,67.06
12/30/2019,67.17
12/30/2019,66.71
12/31/2019,66.64
12/31/2019,66.64
12/31/2019,66.87
1/1/2020,66.64
1/1/2020,66.83
1/1/2020,66.85
1/3/2020,66.6
1/4/2020,67.15
1/5/2020,66.93
1/6/2020,66.6
1/6/2020,67.26
1/7/2020,66.82
1/8/2020,67.48
1/9/2020,66.48
1/9/2020,66.82
1/9/2020,66.37
1/10/2020,66.69
1/10/2020,66.48
1/10/2020,66.39
1/11/2020,66.46
1/11/2020,66.71
1/11/2020,66.82
1/12/2020,67.01
1/12/2020,66.8
1/12/2020,66.6
1/13/2020,66.79
1/13/2020,66.81
1/13/2020,67.04
1/14/2020,66.82
1/14/2020,67.04
1/15/2020,66.6
1/15/2020,66.6
1/15/2020,67.03
1/16/2020,66.93
1/16/2020,66.58
1/16/2020,67.25
1/17/2020,66.7
1/17/2020,67.04
1/17/2020,67.02
1/18/2020,67.04
1/18/2020,66.85
1/18/2020,67.03
1/19/2020,67.03
1/19/2020,66.79
1/19/2020,66.86
1/20/2020,67.7
1/20/2020,67.61
1/20/2020,66.75
1/21/2020,67.03
1/21/2020,66.81
1/21/2020,66.55
1/22/2020,66.98
1/22/2020,66.81
1/22/2020,67.11
1/23/2020,67.2
1/23/2020,67.26
1/23/2020,66.92
1/24/2020,67.22
1/24/2020,66.82
1/24/2020,66.69
1/25/2020,65.43
1/25/2020,66.75
1/25/2020,66.71
1/26/2020,66.58
1/26/2020,66.75
1/26/2020,66.37
1/27/2020,66.58
1/27/2020,67.49
1/27/2020,66.64
1/28/2020,66.37
1/28/2020,67
1/28/2020,67
1/29/2020,66.37
1/29/2020,67.03
1/29/2020,66.88
1/30/2020,67
1/30/2020,67.56
1/31/2020,67.2
1/31/2020,67.26
1/31/2020,67.31
2/1/2020,67.31
2/1/2020,67.26
2/1/2020,67.26
2/2/2020,66.98
2/2/2020,67.2
2/2/2020,66.6
2/3/2020,67.59
2/3/2020,66.58
2/3/2020,67.26
2/4/2020,67.25
2/4/2020,66.87
2/4/2020,66.98
2/5/2020,67.04
2/5/2020,67.43
2/5/2020,67.76
2/6/2020,67.93
2/6/2020,67.7
2/6/2020,66.76
2/7/2020,67.2
2/7/2020,67.25
2/7/2020,66.31
2/8/2020,67.09
2/8/2020,67.5
2/8/2020,67.59
2/9/2020,67.2
2/9/2020,67.38
2/10/2020,67.43
2/10/2020,67.48
2/11/2020,67.25
2/11/2020,67.32
2/11/2020,67.5
2/12/2020,67.26
2/12/2020,66.76
2/12/2020,66.87
2/13/2020,66.76
2/13/2020,66.31
2/13/2020,67.2
2/14/2020,66.98
2/14/2020,67.03
2/14/2020,66.76
2/15/2020,67.09
2/15/2020,67.03
2/15/2020,66.54
2/16/2020,66.76
2/16/2020,66.93
2/16/2020,67.25
2/17/2020,66.98
2/17/2020,67.26
2/17/2020,67.37
2/18/2020,67.31
2/18/2020,66.82
2/19/2020,67.25
2/19/2020,67.33
2/19/2020,66.64
2/20/2020,67.09
2/20/2020,66.98
2/20/2020,67.43
2/21/2020,67.26
2/21/2020,66.98
2/21/2020,66.98
2/22/2020,67.04
2/22/2020,66.86
2/22/2020,67.2
2/23/2020,66.76
2/23/2020,67.03
2/23/2020,66.76
2/24/2020,66.76
2/24/2020,66.82
2/24/2020,66.82
2/25/2020,66.76
2/25/2020,67.26
2/25/2020,66.81
2/26/2020,67.65
2/26/2020,67.09
2/27/2020,67.25
2/27/2020,67.15
2/27/2020,67.2
2/28/2020,67.48
2/28/2020,67.41
2/28/2020,67.43
2/29/2020,67.4
2/29/2020,67.31
2/29/2020,67.09
3/1/2020,67.06
3/1/2020,67.24
3/1/2020,66.19
3/2/2020,67.43
3/2/2020,67.24
3/2/2020,67.09
3/3/2020,67.43
3/3/2020,67.28
3/3/2020,67.37
3/4/2020,67.2
3/4/2020,67.51
3/4/2020,67.26
3/5/2020,67.86
3/5/2020,67.32
3/5/2020,67.06
3/6/2020,66.59
3/6/2020,66.84
3/7/2020,66.84
3/7/2020,66.76
3/8/2020,67.65
3/8/2020,66.97
3/8/2020,66.98
3/9/2020,67.65
3/9/2020,67.26
3/10/2020,67.2
3/10/2020,67.26
3/11/2020,67.64
3/11/2020,67.14
3/12/2020,67.82
3/12/2020,67.17
3/13/2020,67.32
3/13/2020,67.2
3/14/2020,67.82
3/14/2020,67.09
3/15/2020,66.97
3/16/2020,66.75
3/17/2020,67.59
3/17/2020,67.4
3/18/2020,67.2
3/18/2020,67.14
3/19/2020,67.31
3/19/2020,67.4
3/20/2020,66.98
3/20/2020,67.32
3/21/2020,66.98
3/21/2020,67.2
3/22/2020,67.2
3/22/2020,67.65
3/23/2020,67.2
3/23/2020,66.53
3/24/2020,67.53
3/24/2020,67.35
3/25/2020,66.98
3/25/2020,67.65
3/26/2020,66.85
3/26/2020,66.48
3/27/2020,67.53
3/28/2020,67.48
3/29/2020,67.45
3/29/2020,67.3
3/30/2020,66.98
3/30/2020,67.39
3/31/2020,65.98
3/31/2020,66.53
4/1/2020,66.42
4/1/2020,66.53
4/3/2020,66.59
4/3/2020,66.7
4/4/2020,65.95
4/4/2020,67.25
4/5/2020,66.53
4/5/2020,66.36
4/6/2020,66.76
4/6/2020,65.67
4/7/2020,67.29
4/7/2020,66.47
4/8/2020,67.15
4/8/2020,66.8
4/9/2020,66.7
4/9/2020,66.46
4/10/2020,66.59
4/10/2020,66.99
4/11/2020,66.81
4/11/2020,66.99
4/12/2020,67.02
4/12/2020,67.29
4/13/2020,67.21
4/13/2020,67.29
4/14/2020,67.21
4/14/2020,66.59
4/14/2020,67.06
4/15/2020,66.84
4/15/2020,66.81
4/15/2020,67.06
4/16/2020,66.73
4/16/2020,66.58
4/16/2020,66.8
4/17/2020,66.7
4/17/2020,66.8
4/17/2020,66.81
4/18/2020,66.81
4/18/2020,67.21
4/18/2020,66.81
4/19/2020,66.59
4/19/2020,67.21
4/19/2020,67.02
4/20/2020,67.24
4/20/2020,67.51
4/20/2020,67.89
5/3/2020,67.29
5/3/2020,66.35
5/3/2020,66.59
5/4/2020,67.06
5/4/2020,66.99
5/4/2020,67.02
5/5/2020,66.47
5/5/2020,67.21
5/5/2020,67.02
5/6/2020,66.59
5/6/2020,67.51
5/6/2020,67.55
5/7/2020,67.02
5/7/2020,67.06
5/7/2020,67.21
5/8/2020,67.46
5/8/2020,67.03
5/9/2020,66.87
5/9/2020,67.03
5/9/2020,67.77
5/10/2020,67.03
5/10/2020,67.24
5/10/2020,67.15
5/11/2020,67.37
5/11/2020,67.26
5/11/2020,66.6
5/12/2020,67.15
5/12/2020,67.37
5/12/2020,67.93
5/13/2020,67.26
5/13/2020,66.92
5/13/2020,67.49
5/14/2020,67.25
5/14/2020,67.37
5/14/2020,67.48
5/15/2020,67.49
5/15/2020,67.7
5/15/2020,67.48
5/16/2020,67.15
5/16/2020,67.26
5/16/2020,67.37
5/17/2020,67.25
5/17/2020,66.71
5/17/2020,67.15
5/18/2020,67.25
5/19/2020,67.37
5/19/2020,67.26
5/19/2020,66.82
5/20/2020,67.04
5/20/2020,67.48
5/20/2020,67.49
5/21/2020,67.15
5/21/2020,67.59
5/21/2020,67.93
5/22/2020,67.04
5/22/2020,67.26
5/22/2020,67.48
5/23/2020,66.82
5/23/2020,67.37
5/23/2020,67.6
5/24/2020,67.48
5/24/2020,67.37
5/24/2020,67.49
5/25/2020,67.48
5/25/2020,67.6
5/25/2020,67.81
5/26/2020,67.82
5/26/2020,67.26
5/26/2020,67.04
5/27/2020,66.93
5/27/2020,67.26
5/27/2020,67.26
5/28/2020,67.37
5/28/2020,67.26
5/28/2020,67.71
5/29/2020,67.38
5/29/2020,67.7
5/29/2020,67.82
5/30/2020,67.49
5/30/2020,67.37
5/30/2020,67.37
5/31/2020,67.49
5/31/2020,67.15
5/31/2020,67.25
6/1/2020,67.04
6/1/2020,67.04
6/1/2020,67.04
6/2/2020,67.26
6/2/2020,67.26
6/2/2020,67.04
6/3/2020,67.25
6/3/2020,66.93
6/3/2020,66.93
6/4/2020,67.15
6/4/2020,67.38
6/4/2020,67.26
6/5/2020,67.04
6/5/2020,67.47
6/5/2020,67.38
6/6/2020,67.26
6/6/2020,67.25
6/6/2020,67.49
6/7/2020,67.49
6/7/2020,67.59
6/7/2020,67.93
6/8/2020,67.49
6/8/2020,67.93
6/8/2020,67.25
6/9/2020,67.6
6/9/2020,67.26
6/9/2020,67.71
6/10/2020,67.71
6/10/2020,67.82
6/10/2020,67.49
6/11/2020,67.53
6/11/2020,67.27
6/11/2020,66.61
6/12/2020,66.49
6/12/2020,66.38
6/12/2020,67.37
6/13/2020,67.35
6/13/2020,67.37
6/14/2020,67.15
6/14/2020,67.11
6/14/2020,67.81
6/15/2020,67.37
6/15/2020,67.6
6/15/2020,67.44
6/16/2020,67.37
6/16/2020,67.26
6/16/2020,67.22
6/17/2020,67.37
6/17/2020,67.37
6/17/2020,67.59
6/18/2020,67.48
6/18/2020,67.15
6/18/2020,67.19
6/19/2020,67.1
6/19/2020,67.6
6/19/2020,67.15
6/20/2020,67.15
6/20/2020,67.15
6/20/2020,67.37
6/21/2020,67.04
6/21/2020,67.23
6/21/2020,67.48
6/22/2020,67.04
6/22/2020,66.88
6/22/2020,67.6
6/23/2020,67.15
6/24/2020,67.15
6/24/2020,67.22
6/25/2020,66.93
6/25/2020,66.93
6/25/2020,66.97
6/25/2020,67.44
6/26/2020,67.22
6/26/2020,67.15
6/26/2020,66.93
6/27/2020,66.82
6/27/2020,66.93
6/27/2020,67.37
6/28/2020,67.42
6/28/2020,67.37
6/28/2020,67.37
6/29/2020,67.59
6/29/2020,67.22
6/29/2020,67.6
6/30/2020,67.15
6/30/2020,67.33
6/30/2020,67.26
7/1/2020,67.15
7/1/2020,67.37
7/2/2020,67.26
7/2/2020,67
7/3/2020,67.15
7/3/2020,67.15
7/3/2020,67.15
7/4/2020,67.22
7/4/2020,67.15
7/4/2020,67.48
7/5/2020,67.44
7/5/2020,67.15
7/5/2020,67.04
7/6/2020,67.04
7/6/2020,67.37
7/6/2020,67.37
7/7/2020,67.15
7/7/2020,67.44
7/7/2020,67.59
7/8/2020,67.15
7/9/2020,67.15
7/9/2020,67.15
7/9/2020,67.22
7/10/2020,67.37
7/10/2020,67.15
7/10/2020,67.15
7/11/2020,67.59
7/11/2020,67.04
7/11/2020,67.15
7/12/2020,67.26
7/13/2020,67.03
7/13/2020,67.26
7/13/2020,67.26
7/14/2020,67.71
7/14/2020,67.26
7/14/2020,67.93
7/15/2020,67.29
7/15/2020,67.25
7/15/2020,67.49
7/16/2020,67.15
7/16/2020,67.22
7/16/2020,67.71
7/17/2020,67.71
7/17/2020,67.44
7/17/2020,67.44
7/18/2020,67.26
7/18/2020,67.49
7/18/2020,67.61
7/19/2020,67.49
7/19/2020,67.71
7/19/2020,67.31
7/20/2020,67.56
7/20/2020,67.04
7/20/2020,67.48
7/21/2020,67.44
7/21/2020,67.26
7/21/2020,67.04
7/22/2020,67.49
7/22/2020,67.26
7/22/2020,67.38
7/23/2020,67.38
7/23/2020,67.44
7/23/2020,67.49
7/24/2020,67.26
7/24/2020,67.22
7/24/2020,67.38
7/25/2020,67.38
7/25/2020,67.49
7/25/2020,67.67
7/26/2020,67.49
7/26/2020,67.49
7/26/2020,67.22
7/27/2020,67.37
7/27/2020,67.04
7/27/2020,67.04
7/28/2020,67.55
7/28/2020,67.49
7/28/2020,67.15
7/29/2020,67.44
7/29/2020,67.49
7/29/2020,67.6
7/30/2020,67.7
7/30/2020,67.49
7/30/2020,67.6
7/31/2020,67.44
7/31/2020,67.44
7/31/2020,67.6
8/1/2020,67.93
8/1/2020,67.44
8/1/2020,67.7
8/2/2020,67.15
8/2/2020,67.38
8/2/2020,67.44
8/3/2020,67.7
8/4/2020,67.15
8/4/2020,67.26
8/5/2020,67.44
8/5/2020,67.26
8/6/2020,67.33
8/6/2020,67.49
8/6/2020,67.38
8/7/2020,67.38
8/7/2020,67.49
8/7/2020,67.26
8/8/2020,67.37
8/8/2020,66.77
8/8/2020,67.37
8/9/2020,67.26
8/9/2020,67.23
8/9/2020,67.49
8/10/2020,67.26
8/10/2020,67.24
8/10/2020,67.25
8/11/2020,67.26
8/11/2020,67.25
8/11/2020,67.24
8/12/2020,67.49
8/12/2020,67.71
8/12/2020,67.5
